,Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
672,73,Auden Tate (ARI),2019,13,3,44,35,35,9,5,0,6,3,0,1,2,1,0,0,0
673,74,Taylor Gabriel (FA),2019,9,3,39,30,30,9,1,0,5,4,0,0,2,0,0,0,0
674,75,Preston Williams (FA),2019,8,4,54,43,43,11,3,0,8,5,1,1,3,1,0,0,0
675,76,Marquez Valdes-Scantling (KC),2019,16,2,28,19,19,9,5,0,4,2,0,0,1,0,0,0,0
676,77,Tajae Sharpe (FA),2019,15,2,22,18,18,4,0,0,2,2,0,0,1,0,0,0,0
677,78,Ted Ginn Jr. (FA),2019,16,2,26,23,23,3,0,0,4,3,0,0,1,0,0,0,0
678,79,Nelson Agholor (BAL),2019,11,4,33,22,22,11,4,0,6,4,0,1,1,0,0,0,0
679,80,Keelan Cole Sr. (LV),2019,16,2,23,16,16,6,1,0,2,2,0,0,1,0,0,0,0
680,81,Tre'Quan Smith (NO),2019,11,2,21,11,11,10,5,0,2,2,0,0,1,0,0,0,0
681,82,Alex Erickson (FA),2019,16,3,33,17,17,17,5,0,5,3,0,1,2,0,0,0,0
682,83,Allen Hurns (FA),2019,14,2,30,21,21,8,2,0,3,3,0,0,1,0,0,0,0
683,84,Russell Gage (TB),2019,16,3,28,18,18,9,3,0,5,3,0,1,1,0,0,0,0
684,85,Adam Humphries (FA),2019,12,3,31,21,21,10,3,0,4,3,0,0,1,0,0,0,0
685,86,Demaryius Thomas (FA),2019,11,3,39,24,24,15,5,0,5,4,0,1,2,0,0,0,0
686,87,Bisi Johnson (FA),2019,16,2,18,14,14,4,2,0,3,2,0,0,1,0,0,0,0
687,88,Josh Gordon (FA),2019,11,2,39,26,26,13,5,0,4,3,0,0,2,1,0,0,0
688,89,Albert Wilson (FA),2019,13,3,27,13,13,14,5,0,5,4,0,0,1,0,0,0,0
689,90,David Moore (TB),2019,15,1,20,12,12,9,3,0,2,1,0,1,1,0,0,0,0
690,91,Cody Latimer (FA),2019,15,2,20,15,15,5,2,0,3,2,0,0,1,0,0,0,0
691,92,Geronimo Allison (FA),2019,16,2,18,11,11,7,1,0,3,2,0,1,1,0,0,0,0
692,93,Josh Reynolds (DET),2019,16,1,20,12,12,9,3,0,3,2,0,0,1,1,0,0,0
693,94,Damiere Byrd (CAR),2019,11,3,33,19,19,14,6,0,4,3,0,0,1,0,0,0,0
694,95,Marcus Johnson (FA),2019,9,2,31,26,26,5,1,0,4,2,0,0,1,0,0,0,0
695,96,Seth Roberts (FA),2019,16,1,17,13,13,4,1,0,2,1,0,0,1,0,0,0,0
696,97,Miles Boykin (PIT),2019,16,1,12,12,12,1,0,0,1,1,0,0,0,0,0,0,0
697,98,Kelvin Harmon (FA),2019,16,2,23,17,17,6,3,0,3,2,0,0,1,1,0,0,0
698,99,Paul Richardson Jr. (FA),2019,10,3,25,20,20,5,1,0,4,3,0,1,1,0,0,0,0
699,100,Isaiah McKenzie (IND),2019,15,2,17,3,3,14,2,0,3,2,0,0,1,0,0,0,0
700,101,Jakobi Meyers (LV),2019,15,2,24,16,16,8,3,0,3,2,0,0,1,1,0,0,0
701,102,DaeSean Hamilton (FA),2019,16,2,19,11,11,8,2,0,3,2,0,0,1,0,0,0,0
702,103,Tavon Austin (FA),2019,14,1,13,7,7,6,1,0,2,1,0,0,1,0,0,0,0
703,104,Marvin Hall (FA),2019,9,1,29,25,25,4,0,0,1,1,0,0,1,1,1,0,0
704,105,Jaron Brown (FA),2019,14,1,16,11,11,5,1,0,2,1,0,0,1,0,0,0,0
705,106,Greg Ward (PHI),2019,7,4,36,23,23,13,5,0,6,4,0,1,2,0,0,0,0
706,107,Vyncint Smith (IND),2019,14,1,16,9,9,8,4,0,2,1,0,0,1,0,0,0,0
707,108,Keke Coutee (FA),2019,10,2,25,11,11,14,4,0,4,3,0,0,1,0,0,0,0
708,109,Pharoh Cooper (FA),2019,13,2,19,13,13,5,1,0,3,2,0,0,1,0,0,0,0
709,110,Malik Turner (IND),2019,15,1,16,10,10,7,2,0,1,1,0,0,1,0,0,0,0
710,111,Chester Rogers (FA),2019,12,1,15,9,9,6,2,0,2,2,0,0,1,0,0,0,0
711,112,Jarius Wright (FA),2019,16,2,19,13,13,6,1,0,4,2,1,0,1,0,0,0,0
712,113,DeSean Jackson (FA),2019,3,3,53,48,48,5,1,0,3,3,0,0,1,1,1,1,1
713,114,Jake Kumerow (FA),2019,14,1,16,10,10,6,2,0,2,1,0,0,1,0,0,0,0
714,115,Justin Watson (KC),2019,16,1,10,9,9,1,0,0,2,1,0,0,1,0,0,0,0
715,116,Scotty Miller (ATL),2019,10,1,20,16,16,4,1,0,3,1,0,0,1,0,0,0,0
716,117,N'Keal Harry (FA),2019,7,2,15,9,9,6,4,0,3,2,0,1,1,0,0,0,0
717,118,Jakeem Grant Sr. (CLE),2019,10,2,16,8,8,9,1,0,3,2,0,0,1,0,0,0,0
718,119,Andy Isabella (BAL),2019,15,1,13,3,3,9,3,0,1,1,0,0,0,0,0,0,0
719,120,Marquise Goodwin (CLE),2019,9,1,21,17,17,4,0,0,2,2,0,0,1,0,0,0,0
720,121,Damion Ratley (FA),2019,13,1,15,12,12,4,3,0,2,1,0,0,1,0,0,0,0
721,122,Trey Quinn (FA),2019,12,2,17,11,11,5,1,0,4,2,0,0,1,0,0,0,0
722,123,Isaiah Ford (FA),2019,9,3,27,18,18,10,5,0,4,3,0,1,1,0,0,0,0
723,124,KeeSean Johnson (BUF),2019,10,2,19,14,14,4,2,0,4,2,0,1,1,0,0,0,0
724,125,Javon Wims (ARI),2019,16,1,12,9,9,3,1,0,2,1,0,0,1,0,0,0,0
725,126,Laquon Treadwell (FA),2019,14,1,13,9,9,4,2,0,1,1,0,0,1,0,0,0,0
726,127,Dante Pettis (CHI),2019,11,1,10,8,8,2,2,0,2,1,0,0,0,0,0,0,0
727,128,Bennie Fowler III (FA),2019,8,3,24,21,21,4,2,0,5,3,0,1,1,0,0,0,0
728,129,Byron Pringle (FA),2019,16,1,11,7,7,4,2,0,1,1,0,0,0,0,0,0,0
729,130,J.J. Arcega-Whiteside (ATL),2019,16,1,11,10,10,1,0,0,1,1,0,0,1,0,0,0,0
730,131,Duke Williams (FA),2019,4,3,42,29,29,13,10,1,5,4,1,0,2,1,0,0,0
731,132,Zay Jones (JAC),2019,15,2,14,9,9,5,1,0,3,2,0,0,1,0,0,0,0
732,133,Tim Patrick (DEN),2019,8,2,27,23,23,5,3,0,4,2,0,1,1,0,0,0,0
733,134,Kalif Raymond (DET),2019,8,1,21,20,20,2,0,0,2,1,0,0,1,0,0,0,0
734,135,Richie James Jr. (KC),2019,16,0,10,4,4,6,0,0,1,0,0,0,0,0,0,0,0
735,136,Trevor Davis (FA),2019,14,1,8,3,3,5,1,0,1,1,0,0,0,0,0,0,0
736,137,Parris Campbell (NYG),2019,7,3,18,4,4,14,6,0,3,3,0,1,1,0,0,0,0
737,138,Justin Hardy (FA),2019,16,1,12,7,7,5,1,0,2,1,0,0,1,0,0,0,0
738,139,Dontrelle Inman (FA),2019,7,2,26,20,20,6,1,0,3,2,0,0,1,1,0,0,0
739,140,Olamide Zaccheaus (PHI),2019,10,0,12,5,5,6,5,0,1,0,0,0,0,0,0,0,0
740,141,Devin Smith (FA),2019,4,1,28,20,20,8,5,0,2,1,0,1,1,1,1,0,0
741,142,DeAndre Carter (LV),2019,16,1,10,7,7,4,1,0,1,1,0,0,0,0,0,0,0
742,143,Keelan Doss (LAC),2019,8,1,17,10,10,7,2,0,2,2,0,0,1,0,0,0,0
743,144,Mack Hollins (ATL),2019,16,1,8,6,6,2,0,0,1,1,0,0,0,0,0,0,0
744,145,Deon Cain (FA),2019,13,1,10,8,8,2,1,0,2,1,0,0,0,0,0,0,0
745,146,Antonio Brown (FA),2019,1,4,56,49,49,7,3,1,8,4,0,4,3,1,0,0,0
746,147,Rashard Higgins (FA),2019,10,0,6,5,5,1,1,0,1,1,0,0,0,0,0,0,0
747,148,Brandon Zylstra (FA),2019,8,1,13,12,12,1,0,0,2,1,0,0,1,0,0,0,0
748,149,T.J. Jones (FA),2019,3,1,13,5,5,8,0,0,1,1,0,0,0,0,0,0,0
749,150,Marcell Ateman (FA),2019,12,0,10,8,8,2,1,0,1,1,0,0,0,0,0,0,0
750,151,J.J. Nelson (FA),2019,2,2,18,11,11,8,1,0,3,2,0,0,1,1,0,0,0
751,152,Deonte Harty (BUF),2019,14,0,2,-1,-1,3,1,0,0,0,0,0,0,0,0,0,0
752,153,Braxton Berrios (MIA),2019,16,0,7,2,2,5,1,0,1,0,0,0,0,0,0,0,0
753,154,Robert Foster (FA),2019,13,0,5,2,2,2,0,0,1,0,0,0,0,0,0,0,0
754,155,Christian Blake (FA),2019,9,1,10,7,7,3,1,0,3,1,0,0,0,0,0,0,0
755,156,Antonio Callaway (DAL),2019,5,2,18,9,9,9,7,0,3,2,0,1,1,0,0,0,0
756,157,Damion Willis (FA),2019,10,1,8,6,6,3,1,0,2,1,0,0,0,0,0,0,0
757,158,Trent Sherfield (BUF),2019,16,0,5,4,4,1,0,0,1,0,0,0,0,0,0,0,0
758,159,KhaDarel Hodge (ATL),2019,16,0,5,4,4,1,0,0,1,0,0,0,0,0,0,0,0
759,160,Riley Ridley (FA),2019,5,1,14,11,11,3,1,0,1,1,0,0,1,0,0,0,0
760,161,Chris Hogan (FA),2019,7,1,10,5,5,4,1,0,2,1,0,0,0,0,0,0,0
761,162,Tevin Jones (FA),2019,5,1,12,10,10,2,0,0,2,1,0,0,0,0,0,0,0
762,163,Chris Lacy (LV),2019,7,0,9,7,7,1,0,0,1,1,0,0,0,0,0,0,0
763,164,Andre Patton (FA),2019,13,0,4,2,2,2,1,0,1,0,0,0,0,0,0,0,0
764,165,DeAndrew White (FA),2019,10,0,5,2,2,3,1,0,1,0,0,0,0,0,0,0,0
765,166,Deontay Burnett (FA),2019,2,1,24,21,21,3,1,0,2,1,0,0,1,1,1,1,0
766,167,Cedrick Wilson Jr. (MIA),2019,6,1,8,6,6,2,0,0,1,1,0,0,1,0,0,0,0
767,168,Alexander Hollins (FA),2019,5,0,9,8,8,1,0,0,1,1,0,0,0,0,0,0,0
768,169,Jason Moore Jr. (FA),2019,10,0,4,4,4,1,0,0,1,0,0,0,0,0,0,0,0
769,170,Geremy Davis (FA),2019,8,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
770,171,Steven Mitchell Jr. (FA),2019,4,1,9,6,6,4,0,0,2,1,0,0,1,0,0,0,0
771,172,Ishmael Hyman (FA),2019,2,1,17,17,17,1,0,0,2,2,1,0,1,1,1,0,0
772,173,Jordan Matthews (FA),2019,3,1,11,9,9,2,1,0,4,1,0,0,0,0,0,0,0
